,Ticker,Dividends,Ex-Date
0,FCCY,0.1,05/13/2021
1,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FCCY"" title=""Snapshot of 1st Constitution Bancorp's stock."">FCCY</a>",0.135,05/13/2021
2,,0.04,05/13/2021
3,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AHC"" title=""Snapshot of A. H. Belo Corp's stock."">AHC</a>",0.08,05/13/2021
4,,0.05,05/13/2021
5,,0.2,05/13/2021
6,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AGCO"" title=""Snapshot of AGCO Corp's stock."">AGCO</a>",0.63,05/13/2021
7,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ALE"" title=""Snapshot of ALLETE Inc's stock."">ALE</a>",0.21,05/13/2021
8,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ADS"" title=""Snapshot of Alliance Data Systems Corp's stock."">ADS</a>",0.08,05/13/2021
9,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AMAL"" title=""Snapshot of Amalgamated Bank's stock."">AMAL</a>",0.43,05/13/2021
10,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AIRC"" title=""Snapshot of Apartment Income REIT Corp's stock."">AIRC</a>",0.33,05/13/2021
11,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AIT"" title=""Snapshot of Applied Industrial Technologies Inc's stock."">AIT</a>",0.88,05/13/2021
12,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=APAM"" title=""Snapshot of Artisan Partners Asset Management Inc's stock."">APAM</a>",0.14,05/13/2021
13,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BWFG"" title=""Snapshot of Bankwell Financial Group Inc's stock."">BWFG</a>",0.125,05/13/2021
14,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BSET"" title=""Snapshot of Bassett Furniture Industries Inc's stock."">BSET</a>",0.175,05/13/2021
15,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BSM"" title=""Snapshot of Black Stone Minerals LP's stock."">BSM</a>",0.12,05/13/2021
