,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,BAH,Booz Allen Hamilton Holding Corp,2021-05-21T12:30:00.000Z,BMO,0.82,,,EDT,-14400000,EQUITY
1,ANFIF,Amira Nature Foods Ltd,2021-05-21T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
2,ANGVF,Angus Gold Inc,2021-05-21T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
3,NOBDF,North Bud Farms Inc,2021-05-21T19:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
4,BKE,Buckle Inc,2021-05-21T12:30:00.000Z,BMO,0.43,,,EDT,-14400000,EQUITY
5,ROLL,RBC Bearings Inc,2021-05-21T12:30:00.000Z,BMO,1.05,,,EDT,-14400000,EQUITY
6,CCM,Concord Medical Services Holdings Ltd,2021-05-21T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
7,DE,Deere & Co,2021-05-21T12:30:00.000Z,BMO,4.52,,,EDT,-14400000,EQUITY
8,VFC,VF Corp,2021-05-21T12:30:00.000Z,BMO,0.29,,,EDT,-14400000,EQUITY
9,DSX,Diana Shipping Inc,2021-05-21T12:30:00.000Z,BMO,-0.06,,,EDT,-14400000,EQUITY
10,FL,Foot Locker Inc,2021-05-21T12:30:00.000Z,BMO,1.09,,,EDT,-14400000,EQUITY
11,GBRRF,Gabriel Resources Ltd,2021-05-21T17:42:00.000Z,TAS,,,,EDT,-14400000,EQUITY
12,NTZ,Natuzzi SpA,2021-05-21T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
13,YQ,17 Education & Technology Group Inc,2021-05-24T20:00:00.000Z,AMC,-0.44,,,EDT,-14400000,EQUITY
14,KRKR,36kr Holdings Inc,2021-05-24T12:30:00.000Z,BMO,-0.11,,,EDT,-14400000,EQUITY
15,FFNTF,4Front Ventures Corp,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
16,FFNTF,4Front Ventures Corp,2021-05-24T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
17,NAT,Nordic American Tanker Ltd,2021-05-24T20:00:00.000Z,AMC,-0.17,,,EDT,-14400000,EQUITY
18,ARCE,Arco Platform Ltd,2021-05-24T20:00:00.000Z,AMC,0.14,,,EDT,-14400000,EQUITY
19,API,Agora Inc,2021-05-24T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000,EQUITY
20,LMPX,Lmp Automotive Holdings Inc,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
21,CRMT,America's CAR-MART Inc,2021-05-24T20:00:00.000Z,AMC,2.8,,,EDT,-14400000,EQUITY
22,BCEKF,Bear Creek Mining Corp,2021-05-24T15:47:00.000Z,TAS,,,,EDT,-14400000,EQUITY
23,FTBYF,Fortune Bay Corp,2021-05-25T03:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
24,RIDE,Lordstown Motors Corp,2021-05-24T20:00:00.000Z,AMC,-0.28,,,EDT,-14400000,EQUITY
25,NDSN,Nordson Corp,2021-05-24T20:00:00.000Z,AMC,1.64,,,EDT,-14400000,EQUITY
26,TH,Target Hospitality Corp,2021-05-24T12:30:00.000Z,BMO,-0.09,,,EDT,-14400000,EQUITY
27,DNDDF,Dundee Sustainable Technologies Inc,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
28,ELRNF,Elron Electronic Industries Ltd,2021-05-24T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
29,ICLTF,GreenFirst Forest Products Inc,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
30,GTH,Genetron Holdings Ltd,2021-05-24T12:30:00.000Z,BMO,-0.18,,,EDT,-14400000,EQUITY
31,GASS,StealthGas Inc,2021-05-24T12:30:00.000Z,BMO,-0.03,,,EDT,-14400000,EQUITY
32,QD,Qudian Inc,2021-05-24T05:00:04.000Z,TAS,0.29,,,EDT,-14400000,EQUITY
33,ZY,Zymergen Inc,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
34,PLUG,Plug Power Inc,2021-05-24T12:30:00.000Z,BMO,-0.08,,,EDT,-14400000,EQUITY
35,MICT,MICT Inc,2021-05-24T12:30:00.000Z,BMO,-0.05,,,EDT,-14400000,EQUITY
36,RROYF,RE Royalties Ltd,2021-05-24T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
37,MAGS,Magal Security Systems Ltd,2021-05-24T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
38,NEW,Puxin Ltd,2021-05-24T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
39,SDLPQ,Seadrill Partners LLC,2021-05-24T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
40,MANU,Manchester United PLC,2021-05-24T07:00:00.000Z,TAS,1.0,,,EDT,-14400000,EQUITY
41,VNET,21Vianet Group Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
42,AVAH,Aveanna Healthcare Holdings Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
43,ITRN,Ituran Location and Control Ltd,2021-05-25T12:30:00.000Z,BMO,0.38,,,EDT,-14400000,EQUITY
44,AZO,Autozone Inc,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
45,A,Agilent Technologies Inc,2021-05-25T23:00:00.000Z,AMC,0.83,,,EDT,-14400000,EQUITY
46,CBRL,Cracker Barrel Old Country Store Inc,2021-05-25T12:30:00.000Z,BMO,0.26,,,EDT,-14400000,EQUITY
47,IMBI,iMedia Brands Inc,2021-05-25T12:30:00.000Z,BMO,-0.37,,,EDT,-14400000,EQUITY
48,BNR,Burning Rock Biotech Ltd,2021-05-25T12:30:00.000Z,BMO,-0.23,,,EDT,-14400000,EQUITY
49,RRGB,Red Robin Gourmet Burgers Inc,2021-05-25T20:00:00.000Z,AMC,-1.18,,,EDT,-14400000,EQUITY
50,TRIB,Trinity Biotech PLC,2021-05-25T10:59:00.000Z,TNS,0.07,,,EDT,-14400000,EQUITY
51,TOL,Toll Brothers Inc,2021-05-25T20:00:00.000Z,AMC,0.8,,,EDT,-14400000,EQUITY
52,CTRN,Citi Trends Inc,2021-05-25T12:30:00.000Z,BMO,2.9,,,EDT,-14400000,EQUITY
53,HEI,HEICO Corp,2021-05-25T20:00:00.000Z,AMC,0.48,,,EDT,-14400000,EQUITY
54,CSWC,Capital Southwest Corp,2021-05-25T20:00:00.000Z,AMC,0.43,,,EDT,-14400000,EQUITY
55,CBGZF,Cabral Gold Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
56,PLMNF,Palamina Corp,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
57,SPTN,SpartanNash Co,2021-05-25T10:59:00.000Z,TNS,0.56,,,EDT,-14400000,EQUITY
58,WBNEF,Westbond Enterprises Corp,2021-05-26T03:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
59,NFH,New Frontier Health Corp,2021-05-25T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
60,SKY,Skyline Champion Corp,2021-05-25T20:00:00.000Z,AMC,0.38,,,EDT,-14400000,EQUITY
61,BRLGF,Dominion Lending Centres Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
62,AHFCF,Flow Capital Corp,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
63,VYGVF,Voyager Digital Ltd,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
64,DY,Dycom Industries Inc,2021-05-25T12:30:00.000Z,BMO,0.06,,,EDT,-14400000,EQUITY
65,ESEA,Euroseas Ltd,2021-05-25T12:30:00.000Z,BMO,0.41,,,EDT,-14400000,EQUITY
66,FINV,FinVolution Group,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
67,TIGR,UP Fintech Holding Ltd,2021-05-25T04:30:03.000Z,TAS,,,,EDT,-14400000,EQUITY
68,HTHT,Huazhu Group Ltd,2021-05-25T12:30:00.000Z,BMO,-0.32,,,EDT,-14400000,EQUITY
69,STG,Sunlands Technology Group,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
70,GLDFF,Golden Leaf Holdings Ltd,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
71,GLDFF,Golden Leaf Holdings Ltd,2021-05-25T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
72,GENN,Genesis Healthcare Inc,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
73,HTLZF,Hamilton Thorne Ltd,2021-05-25T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
74,RAMP,Liveramp Holdings Inc,2021-05-25T20:00:00.000Z,AMC,0.02,,,EDT,-14400000,EQUITY
75,TLLTF,TILT Holdings Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
76,MENXF,Memex Inc,2021-05-25T22:38:00.000Z,TAS,,,,EDT,-14400000,EQUITY
77,PLAB,Photronics Inc,2021-05-25T12:30:00.000Z,BMO,0.17,,,EDT,-14400000,EQUITY
78,QUISF,Quisitive Technology Solutions Inc,2021-05-25T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
79,URBN,Urban Outfitters Inc,2021-05-25T20:00:00.000Z,AMC,0.17,,,EDT,-14400000,EQUITY
80,INTU,Intuit Inc,2021-05-25T20:00:00.000Z,AMC,6.51,,,EDT,-14400000,EQUITY
81,JWN,Nordstrom Inc,2021-05-25T20:00:00.000Z,AMC,-0.57,,,EDT,-14400000,EQUITY
82,ZS,Zscaler Inc,2021-05-25T20:00:00.000Z,AMC,0.07,,,EDT,-14400000,EQUITY
83,VSAT,ViaSat Inc,2021-05-25T12:30:00.000Z,BMO,0.01,,,EDT,-14400000,EQUITY
84,MMYT,MakeMyTrip Ltd,2021-05-25T12:30:00.000Z,BMO,-0.12,,,EDT,-14400000,EQUITY
85,SOL,ReneSola Ltd,2021-05-25T20:00:00.000Z,AMC,-0.02,,,EDT,-14400000,EQUITY
86,AUMBF,1911 Gold Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
87,AZMCF,Arizona Metals Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
88,ANF,Abercrombie & Fitch Co,2021-05-26T12:30:00.000Z,BMO,-0.38,,,EDT,-14400000,EQUITY
89,BBW,Build-A-Bear Workshop Inc,2021-05-26T12:30:00.000Z,BMO,-0.53,,,EDT,-14400000,EQUITY
90,UHAL,Amerco,2021-05-26T20:00:00.000Z,AMC,5.07,,,EDT,-14400000,EQUITY
91,AAMMF,Almadex Minerals Ltd,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
92,AEO,American Eagle Outfitters Inc,2021-05-26T20:00:00.000Z,AMC,0.46,,,EDT,-14400000,EQUITY
93,ZXAIY,China Zenix Auto International Ltd,2021-05-26T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
94,REX,REX American Resources Corp,2021-05-26T12:30:00.000Z,BMO,0.01,,,EDT,-14400000,EQUITY
95,ICLK,iClick Interactive Asia Group Ltd,2021-05-26T12:30:00.000Z,BMO,0.0,,,EDT,-14400000,EQUITY
96,VTOL,Bristow Group Inc,2021-05-26T20:00:00.000Z,AMC,0.39,,,EDT,-14400000,EQUITY
97,ELF,elf Beauty Inc,2021-05-26T20:00:00.000Z,AMC,0.09,,,EDT,-14400000,EQUITY
98,BMO,Bank of Montreal,2021-05-26T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
