,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
83,TAC,TransAlta Corp,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
84,CSPR,Casper Sleep Inc,2021-05-13T12:30:00.000Z,BMO,-0.55,,,EDT,-14400000,EQUITY
85,PWCDF,Power Corporation of Canada,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
86,CIXX,CI Financial Corp,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
87,CGEN,Compugen Ltd,2021-05-13T12:30:00.000Z,BMO,-0.13,,,EDT,-14400000,EQUITY
88,CSU,Capital Senior Living Corp,2021-05-13T12:30:00.000Z,BMO,-1.58,,,EDT,-14400000,EQUITY
89,PFMT,Performant Financial Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
90,TK,Teekay Corp,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
91,TPRFF,Gran Colombia Gold Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
92,CBAY,Cymabay Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.24,,,EDT,-14400000,EQUITY
93,SANW,S&W Seed Co,2021-05-13T12:30:00.000Z,BMO,-0.09,,,EDT,-14400000,EQUITY
94,KINS,Kingstone Companies Inc,2021-05-13T20:00:00.000Z,AMC,-0.06,,,EDT,-14400000,EQUITY
95,LCTX,Lineage Cell Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000,EQUITY
96,HAE,Haemonetics Corp,2021-05-13T06:00:00.000Z,TAS,0.67,,,EDT,-14400000,EQUITY
97,CVV,CVD Equipment Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
98,CVSI,CV Sciences Inc,2021-05-13T20:00:00.000Z,AMC,-0.02,,,EDT,-14400000,EQUITY
99,CVV,CVD Equipment Corp,2021-05-13T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
100,CSSE,Chicken Soup for The Soul Entertainment Inc,2021-05-13T10:59:00.000Z,TNS,-0.74,,,EDT,-14400000,EQUITY
101,TREVF,Trevali Mining Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
102,DWSN,Dawson Geophysical Co,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
103,ZEPP,Zepp Health Corp,2021-05-13T12:30:00.000Z,BMO,0.08,,,EDT,-14400000,EQUITY
104,SPRWF,Supreme Cannabis Company Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
105,JINFF,China Gold International Resources Corp Ltd,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
106,MAG,MAG Silver Corp,2021-05-13T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
107,BANX,StoneCastle Financial Corp,2021-05-13T20:00:00.000Z,AMC,0.42,,,EDT,-14400000,EQUITY
108,CNNEF,Canacol Energy Ltd,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
109,MFCSF,Medical Facilities Corp,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
110,MCF,Contango Oil & Gas Co (Texas),2021-05-13T13:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
111,PRRWF,Park Lawn Corp,2021-05-13T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
112,RDLCF,Redline Communications Group Inc,2021-05-13T10:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
113,CELH,Celsius Holdings Inc,2021-05-13T12:30:00.000Z,BMO,0.01,,,EDT,-14400000,EQUITY
114,IGXT,Intelgenx Technologies Corp,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
115,DIS,Walt Disney Co,2021-05-13T20:00:00.000Z,AMC,0.27,,,EDT,-14400000,EQUITY
116,DCBO,Docebo Inc,2021-05-13T12:30:00.000Z,BMO,-0.04,,,EDT,-14400000,EQUITY
117,EAST,Eastside Distilling Inc,2021-05-13T20:00:00.000Z,AMC,-0.11,,,EDT,-14400000,EQUITY
118,DMTK,DermTech Inc,2021-05-13T20:00:00.000Z,AMC,-0.42,,,EDT,-14400000,EQUITY
119,DASH,DoorDash Inc,2021-05-13T20:00:00.000Z,AMC,-0.26,,,EDT,-14400000,EQUITY
120,DASH,DoorDash Inc,2021-05-13T17:00:00.000Z,TAS,-0.26,,,EDT,-14400000,EQUITY
121,DYAI,Dyadic International Inc,2021-05-13T20:00:00.000Z,AMC,0.09,,,EDT,-14400000,EQUITY
122,HTGM,HTG Molecular Diagnostics Inc,2021-05-13T20:00:00.000Z,AMC,-1.02,,,EDT,-14400000,EQUITY
123,HRUFF,H&R Real Estate Investment Trust,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
124,WPTIF,WPT Industrial Real Estate Investment Trust,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
125,EFOI,Energy Focus Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
126,NETE,Net Element Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
127,EVOL,Evolving Systems Inc,2021-05-13T17:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
128,EVOL,Evolving Systems Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
129,ELDN,Eledon Pharmaceuticals Inc,2021-05-13T20:00:00.000Z,AMC,-0.32,,,EDT,-14400000,EQUITY
130,ETON,Eton Pharmaceuticals Inc,2021-05-13T20:00:00.000Z,AMC,0.19,,,EDT,-14400000,EQUITY
131,ONE,OneSmart International Education Group Ltd,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
132,FPI,Farmland Partners Inc,2021-05-13T12:30:00.000Z,BMO,-0.07,,,EDT,-14400000,EQUITY
133,PFIN,P&F Industries Inc,2021-05-13T11:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
134,LEFUF,Leon's Furniture Ltd,2021-05-13T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
135,FRGI,Fiesta Restaurant Group Inc,2021-05-13T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000,EQUITY
136,FLY,FLY Leasing Ltd,2021-05-13T12:30:00.000Z,BMO,0.18,,,EDT,-14400000,EQUITY
137,FTCH,Farfetch Ltd,2021-05-13T20:00:00.000Z,AMC,-0.4,,,EDT,-14400000,EQUITY
138,FTHM,Fathom Holdings Inc,2021-05-13T20:00:00.000Z,AMC,-0.09,,,EDT,-14400000,EQUITY
139,IBIBF,IBI Group Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
140,HGBL,Heritage Global Inc,2021-05-13T20:00:00.000Z,AMC,0.04,,,EDT,-14400000,EQUITY
141,GNSS,Genasys Inc,2021-05-13T20:00:00.000Z,AMC,0.0,,,EDT,-14400000,EQUITY
142,GLMD,Galmed Pharmaceuticals Ltd,2021-05-13T12:30:00.000Z,BMO,-0.39,,,EDT,-14400000,EQUITY
143,MOTS,Motus GI Holdings Inc,2021-05-13T20:00:00.000Z,AMC,-0.1,,,EDT,-14400000,EQUITY
144,GDRX,Goodrx Holdings Inc,2021-05-13T20:00:00.000Z,AMC,0.07,,,EDT,-14400000,EQUITY
145,GLOB,Globant SA,2021-05-13T20:00:00.000Z,AMC,0.8,,,EDT,-14400000,EQUITY
146,NGS,Natural Gas Services Group Inc,2021-05-13T12:30:00.000Z,BMO,-0.08,,,EDT,-14400000,EQUITY
147,GEVO,Gevo Inc,2021-05-13T20:00:00.000Z,AMC,-0.04,,,EDT,-14400000,EQUITY
148,WTT,Wireless Telecom Group Inc,2021-05-13T08:30:00.000Z,TAS,-0.02,,,EDT,-14400000,EQUITY
149,WTT,Wireless Telecom Group Inc,2021-05-13T12:30:00.000Z,BMO,-0.02,,,EDT,-14400000,EQUITY
150,GBOX,Greenbox Pos,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
151,GTYH,Gty Technology Holdings Inc,2021-05-13T20:00:00.000Z,AMC,-0.05,,,EDT,-14400000,EQUITY
152,YETI,Yeti Holdings Inc,2021-05-13T12:30:00.000Z,BMO,0.21,,,EDT,-14400000,EQUITY
153,NWHUF,NorthWest Healthcare Properties REIT,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
154,SENS,Senseonics Holdings Inc,2021-05-13T20:00:00.000Z,AMC,-0.05,,,EDT,-14400000,EQUITY
155,HYRE,Hyrecar Inc,2021-05-13T20:00:00.000Z,AMC,-0.16,,,EDT,-14400000,EQUITY
156,HRTH,Harte Hanks Inc,2021-05-13T20:00:00.000Z,AMC,-0.13,,,EDT,-14400000,EQUITY
